1.85366,1.20536,1.47518,1.39752,1.26000,1.36744,1.42751,1.62542,1.63934
1.07500,1.38996,1.16364,1.47849,1.33539,1.43673,1.62712,1.69693,1.54639
1.09427,1.17033,1.20548,1.47569,1.18919,1.61862,1.60894,1.64676,1.93470
1.07850,1.06230,2.04361,1.25369,1.34370,1.74521,1.50196,1.74194,2.25166
1.06466,1.16594,1.84155,1.24481,1.43795,1.31624,1.67221,1.61105,1.68651
1.02767,1.08140,1.66581,1.16686,1.32857,1.21260,1.30879,1.73394,1.69651
1.00539,1.07843,1.24239,1.21888,1.26000,1.32965,1.62025,1.40503,1.67910
1.00916,1.08000,1.08826,1.19048,1.14241,1.22023,1.23839,1.53759,1.44509
1.07855,1.09059,1.04050,1.21576,1.16923,1.16009,1.12629,1.38937,1.47929
1.04278,1.04741,1.07522,1.09865,1.06383,1.10162,1.14798,crash,1.19151
1.01421,1.06717,1.04461,1.04716,1.07173,crash,1.04762,crash,1.13249
1.01331,1.03474,1.04114,1.04061,crash,crash,1.08798,crash,1.08844
1.01816,1.02969,1.06040,1.08645,crash,1.07748,1.07019,crash,1.06347
1.00671,1.02257,1.05096,1.07697,crash,1.08246,1.08371,crash,1.08662
1.00584,1.01853,1.00844,1.02842,crash,1.05551,1.09949,crash,1.04960
1.00455,1.01347,1.03663,1.06479,crash,crash,1.06606,crash,1.03406
1.00414,1.00661,1.00282,1.00369,1.02310,crash,1.00280,1.04513,1.04855
1.00250,1.00780,1.01399,1.00038,1.01219,1.01801,1.00265,1.03554,1.00967
